Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 208.644997, 127.682927
S[01]: 4.778255, 196.821202
S[02]: -0.005400, -16.658016
S[03]: 16.057514, -86.507168
S[04]: -22.251063, -36.616387
S[05]: -123.727390, -189.864270
S[06]: -0.013127, -17.390210
S[07]: -0.014209, -16.754050
S[08]: -214.740641, -555.783884
S[09]: -16.623744, -112.313097
S[10]: 62.473871, 8.087636
S[11]: 94.945390, -54.669047
S[12]: -148.000902, -255.365785
S[13]: -174.800595, -263.259076
S[14]: -107.138927, -229.887567
S[15]: -230.161326, -595.574610
S[16]: -216.892436, -599.055190
S[17]: -223.453356, -590.138364
S[18]: 544.909779, -1.824827
S[19]: 3.299233, 0.000000
S[20]: 0.000000, 0.000000
S[21]: -0.214935, -15.000255
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: -0.403153, -17.683642
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 37.464371, -71.801215
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: -1.593563, -14.676030
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
